#,Side,Entry Time,Exit Time,Entry Price,Exit Price,P&L,Duration,Entry Reason,Exit Reason
2559,CALL,2026-02-25T14:59:00+05:30,2026-02-25T15:11:00+05:30,25468.25,25472.00,3.75,12m0s,"1m CALL entry: EMA6(2546173) EMA9(2546030) > MA21(2546014), close=2546825","1m CALL exit: EMA6(2548239) crossed below EMA9(2548362), close=2547200"
2560,PUT,2026-02-25T15:14:00+05:30,2026-02-25T15:25:00+05:30,25478.50,25483.60,-5.10,11m0s,"1m PUT entry: EMA6(2547999) EMA9(2548116) < MA21(2548149), close=2547850","1m PUT exit: EMA6(2547915) crossed above EMA9(2547906), close=2548360"
2561,CALL,2026-02-25T15:27:00+05:30,2026-02-25T15:29:00+05:30,25485.45,25478.65,-6.80,2m0s,"1m CALL entry: EMA6(2548216) EMA9(2548130) > MA21(2548068), close=2548545",end of day (15:29 close)
2562,CALL,2026-02-26T09:27:00+05:30,2026-02-26T09:52:00+05:30,25515.55,25544.00,28.45,25m0s,"1m CALL entry: EMA6(2550712) EMA9(2550818) > MA21(2550581), close=2551555","1m CALL exit: EMA6(2554954) crossed below EMA9(2554959), close=2554400"
2563,PUT,2026-02-26T09:54:00+05:30,2026-02-26T10:03:00+05:30,25510.60,25538.80,-28.20,9m0s,"1m PUT entry: EMA6(2553519) EMA9(2553926) < MA21(2554365), close=2551060","1m PUT exit: EMA6(2552872) crossed above EMA9(2552788), close=2553880"
2564,CALL,2026-02-26T10:06:00+05:30,2026-02-26T10:17:00+05:30,25560.30,25552.15,-8.15,11m0s,"1m CALL entry: EMA6(2554466) EMA9(2554024) > MA21(2553576), close=2556030","1m CALL exit: EMA6(2555445) crossed below EMA9(2555463), close=2555215"
2565,CALL,2026-02-26T10:18:00+05:30,2026-02-26T10:20:00+05:30,25559.75,25551.10,-8.65,2m0s,"1m CALL re-entry: EMA6(2555596) EMA9(2555566) > MA21(2554823), close=2555975","1m CALL exit: EMA6(2555555) crossed below EMA9(2555556), close=2555110"
2566,PUT,2026-02-26T10:21:00+05:30,2026-02-26T10:43:00+05:30,25543.90,25537.35,6.55,22m0s,"1m PUT entry: EMA6(2555222) EMA9(2555323) < MA21(2555333), close=2554390","1m PUT exit: EMA6(2553234) crossed above EMA9(2553207), close=2553735"
2567,CALL,2026-02-26T10:47:00+05:30,2026-02-26T10:53:00+05:30,25543.40,25532.20,-11.20,6m0s,"1m CALL entry: EMA6(2553532) EMA9(2553427) > MA21(2553250), close=2554340","1m CALL exit: EMA6(2553695) crossed below EMA9(2553720), close=2553220"
2568,PUT,2026-02-26T10:55:00+05:30,2026-02-26T11:08:00+05:30,25519.65,25517.80,1.85,13m0s,"1m PUT entry: EMA6(2552972) EMA9(2553186) < MA21(2553341), close=2551965","1m PUT exit: EMA6(2551587) crossed above EMA9(2551574), close=2551780"
2569,PUT,2026-02-26T11:09:00+05:30,2026-02-26T11:10:00+05:30,25513.55,25522.75,-9.20,1m0s,"1m PUT re-entry: EMA6(2551521) EMA9(2551530) < MA21(2551984), close=2551355","1m PUT exit: EMA6(2551736) crossed above EMA9(2551679), close=2552275"
2570,CALL,2026-02-26T11:11:00+05:30,2026-02-26T11:30:00+05:30,25522.90,25528.50,5.60,19m0s,"1m CALL entry: EMA6(2551895) EMA9(2551801) > MA21(2551756), close=2552290","1m CALL exit: EMA6(2554043) crossed below EMA9(2554087), close=2552850"
2571,PUT,2026-02-26T11:33:00+05:30,2026-02-26T11:51:00+05:30,25524.65,25486.20,38.45,18m0s,"1m PUT entry: EMA6(2553001) EMA9(2553270) < MA21(2553490), close=2552465","1m PUT exit: EMA6(2548302) crossed above EMA9(2548298), close=2548620"
2572,PUT,2026-02-26T11:53:00+05:30,2026-02-26T12:04:00+05:30,25467.15,25470.20,-3.05,11m0s,"1m PUT re-entry: EMA6(2547925) EMA9(2548043) < MA21(2548877), close=2546715","1m PUT exit: EMA6(2546401) crossed above EMA9(2546399), close=2547020"
2573,CALL,2026-02-26T12:08:00+05:30,2026-02-26T12:13:00+05:30,25477.80,25460.35,-17.45,5m0s,"1m CALL entry: EMA6(2547253) EMA9(2547075) > MA21(2546985), close=2547780","1m CALL exit: EMA6(2546798) crossed below EMA9(2546851), close=2546035"
2574,PUT,2026-02-26T12:17:00+05:30,2026-02-26T12:31:00+05:30,25457.90,25442.15,15.75,14m0s,"1m PUT entry: EMA6(2546274) EMA9(2546414) < MA21(2546507), close=2545790","1m PUT exit: EMA6(2543744) crossed above EMA9(2543736), close=2544215"
2575,PUT,2026-02-26T12:32:00+05:30,2026-02-26T12:35:00+05:30,25434.10,25440.00,-5.90,3m0s,"1m PUT re-entry: EMA6(2543648) EMA9(2543671) < MA21(2544298), close=2543410","1m PUT exit: EMA6(2543749) crossed above EMA9(2543731), close=2544000"
2576,CALL,2026-02-26T12:36:00+05:30,2026-02-26T12:50:00+05:30,25441.60,25443.60,2.00,14m0s,"1m CALL entry: EMA6(2543866) EMA9(2543817) > MA21(2543800), close=2544160","1m CALL exit: EMA6(2544992) crossed below EMA9(2545022), close=2544360"
2577,PUT,2026-02-26T12:53:00+05:30,2026-02-26T13:03:00+05:30,25437.40,25438.00,-0.60,10m0s,"1m PUT entry: EMA6(2544405) EMA9(2544573) < MA21(2544757), close=2543740","1m PUT exit: EMA6(2543278) crossed above EMA9(2543220), close=2543800"
